"file","line","hex","suggested_token","context"
"src/app/component/tos-acceptance-modal/tos-acceptance-modal.component.scss","14","#fff","--legience-bg-card","background: var(--vz-card-bg, #fff);"
"src/app/component/tos-acceptance-modal/tos-acceptance-modal.component.scss","30","#405189","(unmapped)","background: linear-gradient(135deg, #405189 0%, #0ab39c 100%);"
"src/app/component/tos-acceptance-modal/tos-acceptance-modal.component.scss","30","#0ab39c","(unmapped)","background: linear-gradient(135deg, #405189 0%, #0ab39c 100%);"
"src/app/component/tos-acceptance-modal/tos-acceptance-modal.component.scss","43","#fff","--legience-bg-card","color: #fff;"
"src/app/component/tos-acceptance-modal/tos-acceptance-modal.component.scss","80","#f8f9fa","(unmapped)","background: var(--vz-light, #f8f9fa);"
"src/app/component/tos-acceptance-modal/tos-acceptance-modal.component.scss","106","#0ab39c","(unmapped)","&.ai   { background: rgba(10, 179, 156, 0.15); color: #0ab39c; }"
"src/app/component/tos-acceptance-modal/tos-acceptance-modal.component.scss","107","#405189","(unmapped)","&.data { background: rgba(64, 81, 137, 0.12);  color: #405189; }"
"src/app/component/tos-acceptance-modal/tos-acceptance-modal.component.scss","108","#e9a820","(unmapped)","&.pro  { background: rgba(247, 184, 75, 0.15);  color: #e9a820; }"
"src/app/component/tos-acceptance-modal/tos-acceptance-modal.component.scss","109","#dc3545","(unmapped)","&.limit{ background: rgba(220, 53, 69, 0.1);    color: #dc3545; }"
"src/app/component/tos-acceptance-modal/tos-acceptance-modal.component.scss","195","#fff","--legience-bg-card","border: 2px solid #fff;"
"src/app/component/tos-acceptance-modal/tos-acceptance-modal.component.scss","221","#f8f9fa","(unmapped)","background: var(--vz-light, #f8f9fa);"
"src/app/component/signatures/signatures.component.scss","36","#f3f3f9","(unmapped)","background: linear-gradient(225deg, var(--vz-body-bg, #f3f3f9) 50%, var(--vz-border-color) 50%);"
"src/app/component/signatures/signatures.component.scss","87","#fff","--legience-bg-card","color: #fff;"
"src/app/component/signatures/signatures.component.scss","310","#9c88ff","(unmapped)","color: #9c88ff;"
"src/app/component/signatures/signatures.component.scss","349","#9c88ff","(unmapped)","color: #9c88ff !important;"
"src/app/component/signatures/signatures.component.scss","426","#fff","--legience-bg-card","color: #fff !important;"
"src/app/component/signatures/signatures.component.scss","477","#fff","--legience-bg-card","color: #fff;"
"src/app/component/signatures/signatures.component.scss","491","#fff","--legience-bg-card","color: #fff;"
"src/app/component/signatures/signatures.component.scss","614","#fff","--legience-bg-card","color: #fff;"
"src/app/component/signatures/signatures.component.scss","1048","#fff","--legience-bg-card","color: #fff;"
"src/app/component/signatures/signatures.component.scss","1059","#fff","--legience-bg-card","color: #fff;"
"src/app/component/signatures/signatures.component.scss","1112","#fff","--legience-bg-card","color: #fff;"
"src/app/component/signatures/signatures.component.scss","1123","#fff","--legience-bg-card","color: #fff;"
"src/app/component/signatures/signatures.component.scss","1134","#fff","--legience-bg-card","color: #fff;"
"src/app/component/signatures/signatures.component.scss","1145","#fff","--legience-bg-card","color: #fff;"
"src/app/component/signatures/signatures.component.scss","1156","#fff","--legience-bg-card","color: #fff;"
"src/app/component/signatures/signatures.component.scss","1167","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","14","#f5f5f4","(unmapped)","--msg-bg: var(--legience-bg-page, #f5f5f4);"
"src/app/component/messages/messages.component.scss","16","#ffffff","--legience-bg-card","--msg-card-bg: var(--legience-bg-card, #ffffff);"
"src/app/component/messages/messages.component.scss","17","#f5f5f4","(unmapped)","--msg-body-bg: var(--legience-bg-page, #f5f5f4);"
"src/app/component/messages/messages.component.scss","18","#e7e5e4","--legience-border-hairline","--msg-border: var(--legience-border-hairline, #e7e5e4);"
"src/app/component/messages/messages.component.scss","20","#f5f5f4","(unmapped)","--msg-hover: var(--legience-bg-card-hover, #f5f5f4);"
"src/app/component/messages/messages.component.scss","22","#44403c","--legience-text-secondary","--msg-text: var(--legience-text-secondary, #44403c);"
"src/app/component/messages/messages.component.scss","23","#57534d","--legience-text-muted","--msg-text-muted: var(--legience-text-muted, #57534d);"
"src/app/component/messages/messages.component.scss","24","#0c0a09","--legience-text-primary","--msg-heading: var(--legience-text-primary, #0c0a09);"
"src/app/component/messages/messages.component.scss","25","#ffffff","--legience-bg-card","--msg-input-bg: var(--legience-bg-card, #ffffff);"
"src/app/component/messages/messages.component.scss","30","#0b64e9","--legience-accent","--msg-primary: var(--legience-accent, #0b64e9);"
"src/app/component/messages/messages.component.scss","32","#0b64e9","--legience-accent","--msg-secondary: var(--vz-secondary, var(--legience-accent, #0b64e9));"
"src/app/component/messages/messages.component.scss","34","#16a34a","--legience-success","--msg-success: var(--legience-success, #16a34a);"
"src/app/component/messages/messages.component.scss","36","#6b4aff","(unmapped)","--msg-info: var(--legience-info, #6b4aff);"
